Zenith Lite™ Diffuse Reflectance Target - 95%R.csv;Reflectivity: 95% (UV-VIS-NIR);DETECTOR-PC\admin;10.04.2014 15:35:46;Lambda 950;950L1211082;1.61.00 Lambda 900
nm;R
2039;0.917516
2040;0.917194
2041;0.91781
2042;0.918549
2043;0.916581
2044;0.918735
2045;0.916087
2046;0.916137
2047;0.917525
2048;0.917624
2049;0.915666
2050;0.915528
2051;0.916519
2052;0.915247
2053;0.916782
2054;0.916104
2055;0.913691
2056;0.915848
2057;0.916726
2058;0.913358
2059;0.91518
2060;0.916265
2061;0.914883
2062;0.913765
2063;0.915503
2064;0.915008
2065;0.912844
2066;0.914004
2067;0.914927
2068;0.914461
2069;0.913188
2070;0.913318
2071;0.912905
2072;0.913736
2073;0.91437
2074;0.914433
2075;0.912314
2076;0.914269
2077;0.913418
2078;0.91249
2079;0.913412
2080;0.914662
2081;0.912603
2082;0.911481
2083;0.911597
2084;0.912321
2085;0.912903
2086;0.912407
2087;0.911133
2088;0.910208
2089;0.910118
2090;0.910912
2091;0.91153
2092;0.91073
2093;0.90906
2094;0.909813
2095;0.910061
2096;0.911527
2097;0.910316
2098;0.90875
2099;0.907563
2100;0.909057
2101;0.910276
2102;0.908066
2103;0.907124
2104;0.908051
2105;0.907425
2106;0.908294
2107;0.906601
2108;0.905394
2109;0.906569
2110;0.906724
2111;0.904694
2112;0.903268
2113;0.905102
2114;0.905896
2115;0.903578
2116;0.902255
2117;0.903611
2118;0.903962
2119;0.901771
2120;0.900795
2121;0.902178
2122;0.901847
2123;0.900218
2124;0.899707
2125;0.900641
2126;0.900271
2127;0.89928
2128;0.898514
2129;0.897931
2130;0.898682
2131;0.898695
2132;0.897256
2133;0.897166
2134;0.898268
2135;0.898213
2136;0.89711
2137;0.897696
2138;0.897889
2139;0.897896
2140;0.898257
2141;0.897502
2142;0.897599
2143;0.898413
2144;0.898598
2145;0.898897
2146;0.899073
2147;0.899596
2148;0.899912
2149;0.900032
2150;0.899831
2151;0.899312
2152;0.899578
2153;0.901041
2154;0.901296
2155;0.901175
2156;0.901919
2157;0.901951
2158;0.901746
2159;0.901615
2160;0.902415
2161;0.903312
2162;0.903966
2163;0.904879
2164;0.904675
2165;0.905811
2166;0.907419
2167;0.908028
2168;0.906999
2169;0.90875
2170;0.909615
2171;0.910783
2172;0.910714
2173;0.910459
2174;0.910745
2175;0.912254
2176;0.912109
2177;0.912238
2178;0.911737
2179;0.912905
2180;0.913662
2181;0.913784
2182;0.913691
2183;0.913526
2184;0.914629
2185;0.91504
2186;0.915865
2187;0.916182
2188;0.916428
2189;0.916792
2190;0.916391
2191;0.916332
2192;0.918203
2193;0.918134
2194;0.918501
2195;0.918579
2196;0.919135
2197;0.91898
2198;0.919064
2199;0.919229
2200;0.919782
2201;0.919747
2202;0.919515
2203;0.920777
2204;0.920407
2205;0.920141
2206;0.919103
2207;0.919949
2208;0.920581
2209;0.920823
2210;0.920683
2211;0.921276
2212;0.921643
2213;0.921141
2214;0.922045
2215;0.920314
2216;0.920383
2217;0.921183
2218;0.920967
2219;0.922155
2220;0.921971
2221;0.919313
2222;0.920994
2223;0.922126
2224;0.921108
2225;0.920579
2226;0.919698
2227;0.920712
2228;0.921968
2229;0.919263
2230;0.920523
2231;0.921067
2232;0.92035
2233;0.919178
2234;0.920637
2235;0.919833
2236;0.91885
2237;0.921603
2238;0.92056
2239;0.917578
2240;0.920075
2241;0.920342
2242;0.9193
2243;0.91909
2244;0.918563
2245;0.918526
2246;0.917418
2247;0.919589
2248;0.918033
2249;0.917122
2250;0.917604
2251;0.918301
2252;0.915801
2253;0.91784
2254;0.91634
2255;0.915206
2256;0.91599
2257;0.916889
2258;0.915702
2259;0.914432
2260;0.915299
2261;0.916516
2262;0.915052
2263;0.913779
2264;0.914535
2265;0.917185
2266;0.915868
2267;0.91409
2268;0.914082
2269;0.914804
2270;0.914778
2271;0.914491
2272;0.914113
2273;0.913967
2274;0.914199
2275;0.914667
2276;0.914329
2277;0.913189
2278;0.912686
2279;0.912742
2280;0.912826
2281;0.91279
2282;0.912861
2283;0.913041
2284;0.91341
2285;0.91341
2286;0.913349
2287;0.913838
2288;0.914417
2289;0.914234
2290;0.914065
2291;0.913928
2292;0.914009
2293;0.913949
2294;0.913509
2295;0.913155
2296;0.912722
2297;0.9126
2298;0.912284
2299;0.911867
2300;0.911315
2301;0.911379
2302;0.911143
2303;0.911241
2304;0.911016
2305;0.911001
2306;0.910915
2307;0.910845
2308;0.910491
2309;0.910502
2310;0.910212
2311;0.90945
2312;0.909439
2313;0.909216
2314;0.908789
2315;0.908068
2316;0.907703
2317;0.907228
2318;0.906937
2319;0.906285
2320;0.905893
2321;0.905843
2322;0.905545
2323;0.90504
2324;0.904906
2325;0.904593
2326;0.904606
2327;0.904215
2328;0.903517
2329;0.903307
2330;0.903074
2331;0.902587
2332;0.901816
2333;0.901126
2334;0.901064
2335;0.900789
2336;0.900209
2337;0.899505
2338;0.899211
2339;0.899021
2340;0.898899
2341;0.898316
2342;0.897902
2343;0.897798
2344;0.897628
2345;0.897472
2346;0.897392
2347;0.897195
2348;0.89751
2349;0.897682
2350;0.897245
2351;0.897108
2352;0.897119
2353;0.896369
2354;0.896054
2355;0.89586
2356;0.895458
2357;0.89539
2358;0.895644
2359;0.895142
2360;0.894973
2361;0.894928
2362;0.894704
2363;0.894828
2364;0.894913
2365;0.894849
2366;0.894971
2367;0.894672
2368;0.894655
2369;0.894979
2370;0.895145
2371;0.895347
2372;0.895101
2373;0.895388
2374;0.894732
2375;0.894415
2376;0.894377
2377;0.894023
2378;0.894181
2379;0.893652
2380;0.893034
2381;0.893021
2382;0.892627
2383;0.892403
2384;0.89235
2385;0.891762
2386;0.892175
2387;0.892122
2388;0.891785
2389;0.891497
2390;0.892136
2391;0.89155
2392;0.891697
2393;0.891783
2394;0.891863
2395;0.891103
2396;0.891803
2397;0.891994
2398;0.891058
2399;0.890471
2400;0.890172
2401;0.889618
2402;0.889267
2403;0.88764
2404;0.887164
2405;0.886331
2406;0.885732
2407;0.885313
2408;0.885159
2409;0.885268
2410;0.884852
2411;0.884361
2412;0.885015
2413;0.885018
2414;0.885179
2415;0.885627
2416;0.885599
2417;0.886269
2418;0.886405
2419;0.886051
2420;0.887398
2421;0.88676
2422;0.885634
2423;0.885678
2424;0.884955
2425;0.884698
2426;0.884464
2427;0.883651
2428;0.884251
2429;0.883859
2430;0.883695
2431;0.884502
2432;0.88536
2433;0.885706
2434;0.885301
2435;0.88663
2436;0.887173
2437;0.887959
2438;0.888513
2439;0.888462
2440;0.889262
2441;0.890599
2442;0.889916
2443;0.889301
2444;0.890386
2445;0.888856
2446;0.889094
2447;0.888942
2448;0.888969
2449;0.887626
2450;0.887455
